"Symbol","Name","IPO date","Market cap","IPO book value","Last Close Price","Price over book %","Shares outstanding","Average trading volume","% traded","Action"
"CLAA","Colonnade Acquisition Corp. II Class A","04/30/2021","$335,610,000","10.00","10.20","2.00","33,000,000","107,499","0.33%","Analyze"
"CORS","Corsair Partnering Corporation Class A","08/23/2021","$286,518,000","10.00","10.20","2.00","28,090,000","134,628","0.48%","Analyze"
"CRZN","Corazon Capital V838 Monoceros Corp Class A","05/14/2021","$208,445,617","10.00","10.20","2.00","20,379,900","88,905","0.44%","Analyze"
"DNAB","Social Capital Suvretta Holdings Corp. II Class A","06/24/2021","$261,784,400","10.00","10.20","2.00","25,640,000","48,670","0.19%","Analyze"
"FZT","FAST Acquisition Corp. II Class A","05/06/2021","$226,783,607","10.00","10.20","2.00","22,233,687","10,826","0.05%","Analyze"
"HSAQ","Health Sciences Acquisitions Corporation 2","08/04/2020","$149,233,277","10.00","10.20","2.00","11,212,117","15,234","0.14%","Analyze"
"IGTA","Inception Growth Acquisition Limited","01/21/2022","$129,675,780","10.00","10.20","2.00","12,725,788","468,621","3.68%","Analyze"
"KAII","Kismet Acquisition Two Corp. Class A","04/12/2021","$234,600,000","10.00","10.20","2.00","23,000,000","364","0.00%","Analyze"
"LDHA","LDH Growth Corp I - Class A","05/10/2021","$234,830,000","10.00","10.20","2.00","23,000,000","22,096","0.10%","Analyze"
"LEGA","Lead Edge Growth Opportunities, Ltd Class A","05/13/2021","$0","10.00","10.20","2.00","31,874,283","327,236","1.03%","Analyze"
"LVRA","Levere Holdings Corp. Class A","05/10/2021","$276,711,026","10.00","10.20","2.00","27,128,532","158,783","0.59%","Analyze"
"OLIT","OmniLit Acquisition Corp. Class A","01/24/2022","$13,750,100","10.00","10.20","2.00","1,348,049","5,269","0.39%","Analyze"
"PACX","Pioneer Merger Corp. - Class A","03/01/2021","$0","10.00","10.20","2.00","40,250,000","1,852,693","4.60%","Analyze"
"SLVR","SilverSPAC Inc. Class A","07/24/1995","$255,000,000","10.00","10.20","2.00","25,000,000","4,317","0.02%","Analyze"
"SVFB","SVF Investment Corp. 2 - Class A","03/09/2021","$243,055,296","10.00","10.20","2.00","23,760,000","116,042","0.49%","Analyze"
"TBSA","TB SA Acquisition Corp Class A Ordinary Share","05/13/2021","$0","10.00","10.20","2.00","20,000,000","21,879","0.11%","Analyze"
"TRTL","TortoiseEcofin Acquisition Corp. III Class A","09/09/2021","$351,900,000","10.00","10.20","2.00","34,500,000","97,812","0.28%","Analyze"
"WAVS","Western Acquisition Ventures Corp.","04/10/2022","$150,460,200","10.00","10.20","2.00","14,751,000","2,205","0.01%","Analyze"
"WPCA","Warburg Pincus Capital Corporation IA Class A","04/25/2021","$289,090,216","10.00","10.20","2.00","28,342,178","65,893","0.23%","Analyze"
"WPCB","Warburg Pincus Capital Corporation IB Class A","04/25/2021","$559,725,000","10.00","10.20","2.00","54,875,000","27,257","0.05%","Analyze"
"ABGI","ABG Acquisition Corp. I - Class A","02/17/2021","$158,464,934","10.00","10.19","1.90","15,566,300","2,115","0.01%","Analyze"
"AGGR","Agile Growth Corp. Class A","04/30/2021","$315,890,000","10.00","10.19","1.90","31,000,000","33,355","0.11%","Analyze"
"ANAC","Arctos NorthStar Acquisition Corp. Class A","04/15/2021","$322,258,750","10.00","10.19","1.90","31,625,000","705","0.00%","Analyze"
"AQU","Aquaron Acquisition Corp.","10/19/2022","$55,332,160","10.00","10.19","1.90","5,417,180","11,445","0.21%","Analyze"
"BGSX","Build Acquisition Corp. Class A","05/06/2021","$203,600,000","10.00","10.19","1.90","20,000,000","126,914","0.63%","Analyze"
"BLEU","bleuacacia ltd Class A","01/10/2022","$281,520,000","10.00","10.19","1.90","27,600,000","50,072","0.18%","Analyze"
"HERA","FTAC Hera Acquisition Corp. Class A","04/26/2021","$886,349,797","10.00","10.19","1.90","87,067,760","238,561","0.27%","Analyze"
"HTAQ","Hunt Companies Acquisition Corp. I","12/30/2021","$234,370,000","10.00","10.19","1.90","23,000,000","149,180","0.65%","Analyze"
"PCX","Parsec Capital Acquisitions Corp Class A","12/28/2007","$0","10.00","10.19","1.90","8,625,000","53,305","0.62%","Analyze"
"PDOT","Peridot Acquisition Corp. II Class A","04/29/2021","$415,806,946","10.00","10.19","1.90","40,845,476","59,153","0.14%","Analyze"
"PFTA","Portage Fintech Acquisition Corporation Class A Ordinary Share","01/03/2000","$264,814,293","10.00","10.19","1.90","25,911,379","10,807","0.04%","Analyze"
"SKYA","Skydeck Acquisition Corp. Class A","07/09/2021","$226,203,642","10.00","10.19","1.90","22,165,962","333,272","1.50%","Analyze"
"TIOA","Tio Tech A Class A","06/01/2021","$352,245,000","10.00","10.19","1.90","34,500,000","9,010","0.03%","Analyze"
"CTAQ","Carney Technology Acquisition Corp. II Class A","02/01/2021","$0","10.00","10.18","1.80","41,150,000","344,122","0.84%","Analyze"
"EMLD","FTAC Emerald Acquisition Corp. Class A","02/07/2022","$263,364,860","10.00","10.18","1.80","25,845,423","2,826","0.01%","Analyze"
"FSNB","Fusion Acquisition Corp. II Class A","04/19/2021","$509,000,000","10.00","10.18","1.80","50,000,000","8,969","0.02%","Analyze"
"FST","FAST Acquisition Corp. Class A","10/12/2020","$203,600,000","10.00","10.18","1.80","20,000,000","1,756,123","8.78%","Analyze"
